TransactionID,Timestamp,CustomerID,Name,Surname,Shipping_State,Item,Description,Retail_Price,Loyalty_Discount
113255,12/13/16 18:05,200000663,Leonard,Jackson,Delaware,8619953091,Pillowcase,18.96,0.02
113254,12/13/16 18:05,200000661,Lucas,Abraham,Louisiana,2020397001,Men's Pajama Set,23.1,0
113253,12/13/16 18:03,200000662,Trevor,Skinner,Louisiana,4681342313,Sheets,29.9,0.1
113252,12/13/16 18:01,100000007,Dorothy,Thomson,Alabama,6697166886,Coat,159.8,0.07
113251,12/13/16 18:01,400000180,Eric,Bower,New Hampshire,6697166886,Coat,159.8,0.06
113250,12/13/16 17:59,200000701,Joshua,Wilson,North Carolina,5187373849,Short Slip,12.87,0.1
113249,12/13/16 17:59,300000467,Angela,Morrison,Utah,7010679527,Blanket,63.84,0.08
113248,12/13/16 17:58,400000706,Samantha,Mills,Alabama,1893735141,Socks,115.5,0.1
113247,12/13/16 17:57,100000061,Kylie,Howard,Minnesota,8241463559,Wallet,49.75,0.1
113246,12/13/16 17:55,400000513,Amy,Wilkins,Minnesota,2430071492,Dust Ruffle,41.86,0.02
113245,12/13/16 17:51,200000459,Charles,Brown,Arizona,6988128169,Handbag,25.44,0.04
113244,12/13/16 17:48,200000482,Justin,Graham,Arizona,7270957383,Scarf,29.85,0.01
113243,12/13/16 17:48,100000081,Joan,Buckland,Minnesota,6228611532,Valance,47.76,0.02
113242,12/13/16 17:46,200000821,Charles,Underwood,Texas,1940915493,Long Gown,68.77,0.08
113241,12/13/16 17:45,300000015,Madeleine,Marshall,Arizona,3305177499,Coveralls (long sleeve),95.88,0.08
113240,12/13/16 17:43,100000252,Nicholas,Lyman,North Carolina,4924918902,T-shirt,62.79,0.09
113239,12/13/16 17:42,300000822,Leonard,Fisher,Maine,2363094138,Short Overalls,71.82,0.07
113238,12/13/16 17:42,300000815,Pippa,Robertson,Massachusetts,2355020550,Sweater,67.92,0.03
113237,12/13/16 17:42,100000618,Andrew,Wright,Wyomin,3890778939,Suit & 2 pc Dress,125.16,0.08
113236,12/13/16 17:42,100000051,Sophie,Wilkins,Washington,5153370805,Shorts,43.96,0.04
113235,12/13/16 17:42,100000880,Rachel,Springer,North Dakota,1737807900,Tie,68.64,0.03
113234,12/13/16 17:40,100000898,Samantha,Ross,Montan,2695940506,Sweater,59.4,0.02
113233,12/13/16 17:40,400000359,Gabrielle,MacDonald,Vermont,9873264896,Hat,10.89,0.07
113232,12/13/16 17:39,100000559,Grace,Mills,Massachusetts,7270957383,Scarf,29.85,0.09
113231,12/13/16 17:38,100000878,Felicity,Metcalfe,Florida,8068199275,Slacks,87.78,0.03
113230,12/13/16 17:36,100000013,Ryan,MacDonald,Delaware,2588421965,Commode Cover,15.84,0.08
113229,12/13/16 17:35,100000569,Gabrielle,Skinner,Wyomin,9730446421,Blazer,103.3,0
113228,12/13/16 17:34,300000852,Kevin,Parsons,Mississippi,4327321762,Dress,69.75,0.03
113227,12/13/16 17:33,100000158,Michael,Powell,North Carolina,3126356136,Formal Dress,99.9,0.09
113226,12/13/16 17:33,300000023,Deirdre,McDonald,New York,2178891798,Hand Towel,18.17,0.05
113225,12/13/16 17:33,100000923,Andrea,Henderson,Missouri,3795753080,Jeans,38.1,0.09
113224,12/13/16 17:29,100000251,Fiona,Jones,South Dakota,2210750188,Blazer,119.76,0.1
113223,12/13/16 17:28,400000557,Lisa,Buckland,Kentucky,5509524170,Couch Cover,86.68,0.02
113222,12/13/16 17:27,300000614,Jennifer,Skinner,Georgia,2524845521,Gown & Robe Set,105.6,0.1
113221,12/13/16 17:26,100000477,Chloe,MacLeod,Wyomin,6228611532,Valance,47.76,0.09
113220,12/13/16 17:26,200000537,Rebecca,Simpson,Wyomin,4924918902,T-shirt,62.79,0.09
113219,12/13/16 17:25,100000567,Alison,James,Arizona,5050067655,Bottoms,66.96,0
113218,12/13/16 17:24,200000256,Julian,Peake,Connecticut,3123824581,Sweatpants,43.89,0.04
113217,12/13/16 17:22,400000368,Olivia,Simpson,Vermont,7841340144,Shirt,29.4,0
113216,12/13/16 17:20,100000521,Sonia,Vance,Vermont,9538578209,Dress,87.36,0.06
113215,12/13/16 17:20,200000493,Jacob,Forsyth,Arizona,9730446421,Blazer,103.3,0.07
113214,12/13/16 17:20,100000173,Hannah,Thomson,Massachusetts,5310615417,Tie,41.79,0.03
113213,12/13/16 17:19,100000824,Heather,Davies,Massachusetts,6991736764,Pillow Sham,19.8,0.07
113212,12/13/16 17:18,100000344,Anna,Miller,South Dakota,6182400847,Blazer,26.88,0.03
113211,12/13/16 17:17,100000760,Keith,Walker,Minnesota,8675740287,Baby Quilt,47.76,0.09
113210,12/13/16 17:17,100000542,Anne,Sharp,Illinoi,6661671897,Swimwear,50.83,0.09
113209,12/13/16 17:12,300000730,Nicola,Howard,Iowa,2430071492,Dust Ruffle,41.86,0.09
113208,12/13/16 17:11,100000121,Ian,Slater,Alabama,2363094138,Short Overalls,71.82,0.1
113207,12/13/16 17:10,100000051,Sophie,Wilkins,Washington,7833392032,Skirt,55.86,0.04
113206,12/13/16 17:10,200000582,Rebecca,Clarkson,Mississippi,3256419181,Short Slip,102,0.09
113205,12/13/16 17:09,400000396,Fiona,Buckland,Mississippi,1160651321,Coat,93.9,0.08
113204,12/13/16 17:08,300000238,Dorothy,Miller,Alaska,2355020550,Sweater,67.92,0.06
113203,12/13/16 17:08,100000236,Carol,Blake,Missouri,1284609276,Sweater,95.76,0.02
113202,12/13/16 17:05,100000010,Dominic,Parr,North Dakota,5509524170,Couch Cover,86.68,0
113201,12/13/16 17:04,100000341,Jasmine,Greene,New Mexico,6511971572,Sleeping Bag,47.88,0.06
113200,12/13/16 17:03,100000564,Leonard,Paige,North Dakota,8143229140,Shower Shoes,27.86,0.06
113199,12/13/16 16:59,400000690,Bernadette,Duncan,Utah,6182400847,Blazer,26.88,0.03
113198,12/13/16 16:59,200000387,Christian,Blake,Colorado,2113413915,Shorts,59.33,0.03
113197,12/13/16 16:58,400000916,Matt,Grant,New Hampshire,9862518267,Socks,10.84,0.02
113196,12/13/16 16:57,100000931,Maria,Lawrence,Missouri,3890778939,Suit & 2 pc Dress,125.16,0.02
113195,12/13/16 16:53,100000345,Benjamin,Ince,West Virginia,8068199275,Slacks,87.78,0.03
113194,12/13/16 16:53,100000144,Sean,Bell,Ohio,5997626126,Coat/Jacket,39.55,0.02
113193,12/13/16 16:52,300000495,Stephen,Poole,Indiana,3135576553,Underwear,5.88,0.08
113192,12/13/16 16:52,100000169,Blake,Mills,Kentucky,6548962456,Dust Ruffle,65.79,0.09
113191,12/13/16 16:51,300000702,Diane,Underwood,Maryland,7841340144,Shirt,29.4,0.03
113190,12/13/16 16:51,100000383,Jasmine,Oliver,Louisiana,7010679527,Blanket,63.84,0
113189,12/13/16 16:50,200000646,Liam,Rutherford,Louisiana,3750666773,Waterbed Sheet,79.8,0.02
113188,12/13/16 16:49,400000398,Nicola,Ferguson,Maryland,7645689457,Apron,9.48,0.04
113187,12/13/16 16:45,100000192,Oliver,Blake,Maryland,6511971572,Sleeping Bag,47.88,0.09
113186,12/13/16 16:45,100000315,Peter,Metcalfe,Idaho,6697166886,Coat,159.8,0.08
113185,12/13/16 16:42,100000181,Mary,Watson,Missouri,7833392032,Skirt,55.86,0.08
113184,12/13/16 16:40,300000814,James,Newman,Hawaii,8269421724,Long Overalls,124.75,0.01
113183,12/13/16 16:39,100000854,Carl,Clark,Kentucky,9313710898,Dish Towel,32.23,0.02
113182,12/13/16 16:38,100000286,Ruth,Lambert,Idaho,2430071492,Dust Ruffle,41.86,0.08
113181,12/13/16 16:38,200000548,Emily,King,Minnesota,1284609276,Sweater,95.76,0.09
113180,12/13/16 16:37,100000145,Steven,Ball,New York,8675740287,Baby Quilt,47.76,0.03
113179,12/13/16 16:33,100000412,Dan,Wright,Oklahoma,2876522496,Jacket,99.8,0.1
113178,12/13/16 16:31,200000350,Isaac,Kelly,Minnesota,6228611532,Valance,47.76,0.06
113177,12/13/16 16:26,100000724,Una,Blake,Texas,3382973348,Top,81.76,0.04
113176,12/13/16 16:24,400000653,Sam,Campbell,Utah,4934584980,Nylon Pants,55.86,0.01
113175,12/13/16 16:23,100000136,Christopher,Mackenzie,Maryland,8586814459,Gown & Robe Set,65.64,0.03
113174,12/13/16 16:23,300000271,Carl,Abraham,Hawaii,9538578209,Dress,87.36,0.02
113173,12/13/16 16:22,100000285,Matt,Black,Maine,5480721202,Shirt,67.83,0.08
113172,12/13/16 16:22,200000523,Adam,Gill,Wisconsin,4291344502,Long Overalls,55.62,0
113171,12/13/16 16:22,100000154,Kevin,Powell,South Dakota,8619953091,Pillowcase,18.96,0.01
113170,12/13/16 16:21,200000071,Dan,Mills,Kansas,6648383061,Long Slip,27.86,0.02
113169,12/13/16 16:20,100000520,Joan,Clarkson,Missouri,1737807900,Tie,68.64,0.07
113168,12/13/16 16:18,100000451,Tracey,Thomson,North Carolina,7502168586,Baby Quilt,38.06,0.03
113167,12/13/16 16:16,100000546,Donna,Johnston,Connecticut,7425260271,Mattress Cover,35.44,0.02
113166,12/13/16 16:14,300000636,Elizabeth,McDonald,Arkansas,3305177499,Coveralls (long sleeve),95.88,0.02
113165,12/13/16 16:13,100000936,Alexandra,Henderson,Rhode Island,8213207925,Underwear & Boxers,23.76,0.02
113164,12/13/16 16:13,200000819,Katherine,Grant,Illinoi,6648383061,Long Slip,27.86,0.05
113163,12/13/16 16:10,100000171,John,Hughes,New York,2430071492,Dust Ruffle,41.86,0.02
113162,12/13/16 16:09,100000042,Diane,Black,Illinoi,6511971572,Sleeping Bag,47.88,0.06
113161,12/13/16 16:09,300000597,Julian,Lyman,Arizona,1988250904,Coat,74.16,0.01
113160,12/13/16 16:08,300000597,Julian,Lyman,Arizona,5997626126,Coat/Jacket,39.55,0.01
113159,12/13/16 16:04,200000896,Paul,Allan,Pennsylvani,6182400847,Blazer,26.88,0.06
113158,12/13/16 16:01,400000472,Gabrielle,Hardacre,Delaware,1336619171,Slacks,63.84,0.01
113157,12/13/16 16:00,100000919,Natalie,Duncan,New Mexico,4291344502,Long Overalls,55.62,0.07
113156,12/13/16 15:57,100000422,Brian,Simpson,North Dakota,1336619171,Slacks,63.84,0.05
113155,12/13/16 15:57,200000819,Katherine,Grant,Illinoi,9313710898,Dish Towel,32.23,0.05
113154,12/13/16 15:56,100000294,Brandon,Morgan,Mississippi,1737807900,Tie,68.64,0.01
113153,12/13/16 15:56,100000841,Donna,Davidson,Colorado,2113413915,Shorts,59.33,0.05
113152,12/13/16 15:54,100000544,Ian,Ince,Florida,3256419181,Short Slip,102,0.1
113151,12/13/16 15:52,300000734,Sarah,Murray,North Dakota,2355020550,Sweater,67.92,0.02
113150,12/13/16 15:52,300000633,Piers,Miller,Alaska,7502168586,Baby Quilt,38.06,0.08
113149,12/13/16 15:51,200000646,Liam,Rutherford,Louisiana,1988250904,Coat,74.16,0.02
113148,12/13/16 15:50,400000515,Amanda,Mackenzie,Mississippi,1303837083,Suit,19.4,0.1
113147,12/13/16 15:50,100000170,Natalie,Morrison,Arkansas,2695940506,Sweater,59.4,0.04
113146,12/13/16 15:49,100000330,Wendy,Turner,Massachusetts,2355020550,Sweater,67.92,0.05
113145,12/13/16 15:48,100000558,Jan,Sanderson,Idaho,8213207925,Underwear & Boxers,23.76,0.03
113144,12/13/16 15:48,400000914,Anna,Randall,New Jersey,5145202479,Crib Sheet,9.9,0.05
